experiment,game_id,white_strategy,black_strategy,result,winner,move_count,duration_s,error,started_at,finished_at
"opening-intelligence-endgame vs all","a956c49b-e5af-45cb-897c-e1e1ac54346c","greedy","opening-intelligence-endgame","BlackWin","black",32,37,142,"",2026-04-11 23:50:15,2026-04-11 23:50:52
"opening-intelligence-endgame vs all","24431146-0987-4a2c-885b-65f7634bc20b","greedy","opening-intelligence-endgame","BlackWin","black",42,48,986,"",2026-04-11 23:50:52,2026-04-11 23:51:41
"opening-intelligence-endgame vs all","ab8aa2fe-645b-4bd0-9667-bc56c152a33b","greedy","opening-intelligence-endgame","BlackWin","black",42,48,912,"",2026-04-11 23:51:41,2026-04-11 23:52:30
"opening-intelligence-endgame vs all","21d057eb-6b33-4119-a230-3eea9316f252","greedy","opening-intelligence-endgame","BlackWin","black",56,64,968,"",2026-04-11 23:52:30,2026-04-11 23:53:35
"opening-intelligence-endgame vs all","33701aef-deb0-4d75-bdc2-c71f57f74739","greedy","opening-intelligence-endgame","BlackWin","black",28,32,606,"",2026-04-11 23:53:35,2026-04-11 23:54:07
"opening-intelligence-endgame vs all","1d499d65-b22e-4a99-8c51-422c28b9fb59","greedy","opening-intelligence-endgame","BlackWin","black",38,44,137,"",2026-04-11 23:54:07,2026-04-11 23:54:51
"opening-intelligence-endgame vs all","e6b6d5c8-c20a-4a54-acd2-5d4d573c9eb2","greedy","opening-intelligence-endgame","BlackWin","black",42,48,758,"",2026-04-11 23:54:51,2026-04-11 23:55:40
"opening-intelligence-endgame vs all","04afd0e5-a216-4522-82d4-670c00ef07b1","greedy","opening-intelligence-endgame","BlackWin","black",36,41,742,"",2026-04-11 23:55:40,2026-04-11 23:56:22
"opening-intelligence-endgame vs all","54a0fcd3-6df8-48f2-9fc8-3371bd9a59ed","greedy","opening-intelligence-endgame","BlackWin","black",32,37,026,"",2026-04-11 23:56:22,2026-04-11 23:56:59
"opening-intelligence-endgame vs all","1cedf8ac-e744-49ae-9848-ed6db491569a","greedy","opening-intelligence-endgame","BlackWin","black",58,67,257,"",2026-04-11 23:56:59,2026-04-11 23:58:06
"opening-intelligence-endgame vs all","0887948e-7a87-4e34-8bb7-d5cf008c1514","opening-intelligence-endgame","endgame-minimax","","",0,300,011,"Timed out while waiting for backend game completion",2026-04-11 23:58:06,2026-04-12 00:03:06
"opening-intelligence-endgame vs all","fd3d8a66-d742-4097-b991-48bb0ea412e5","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",71,80,993,"",2026-04-12 00:03:06,2026-04-12 00:04:27
"opening-intelligence-endgame vs all","5e6d05f2-4846-48f7-9c15-23d4de5bc308","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",117,130,004,"",2026-04-12 00:04:27,2026-04-12 00:06:37
"opening-intelligence-endgame vs all","8202907d-b579-4053-9989-f3ab44fa6d8d","opening-intelligence-endgame","endgame-minimax","Draw","",86,100,849,"",2026-04-12 00:06:37,2026-04-12 00:08:18
"opening-intelligence-endgame vs all","9031246f-a5b3-43a2-b20d-9cdd1e48c19f","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",95,110,118,"",2026-04-12 00:08:18,2026-04-12 00:10:08
"opening-intelligence-endgame vs all","29a47e45-242e-43ee-87b7-97e3aed82a80","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",77,88,630,"",2026-04-12 00:10:08,2026-04-12 00:11:37
"opening-intelligence-endgame vs all","f61e6a06-0038-4c7c-807d-54b92f857a93","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",93,113,810,"",2026-04-12 00:11:37,2026-04-12 00:13:31
"opening-intelligence-endgame vs all","b8a271db-79fe-400b-b599-f09403be238b","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",111,120,520,"",2026-04-12 00:13:31,2026-04-12 00:15:31
"opening-intelligence-endgame vs all","3f1eca58-3907-47c2-a7b4-81413716326c","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",123,136,131,"",2026-04-12 00:15:31,2026-04-12 00:17:47
"opening-intelligence-endgame vs all","370528af-d090-43e0-956c-1973d7ec07dc","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",27,28,315,"",2026-04-12 00:17:47,2026-04-12 00:18:16
"opening-intelligence-endgame vs all","c187a47e-e07d-40ba-b409-98b1f0cfd384","opening-intelligence-endgame","endgame-minimax","","",0,299,991,"Timed out while waiting for backend game completion",2026-04-12 00:18:16,2026-04-12 00:23:16
"opening-intelligence-endgame vs all","17558f75-a427-43f3-91b5-5a1987c1ce79","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",79,97,205,"",2026-04-12 00:23:16,2026-04-12 00:24:53
"opening-intelligence-endgame vs all","228a3cdb-6fc7-4ba4-92df-cfcb0478ab4e","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",73,87,616,"",2026-04-12 00:24:53,2026-04-12 00:26:21
"opening-intelligence-endgame vs all","22c1edf8-c923-4a5d-9083-745e93e83f15","opening-intelligence-endgame","endgame-minimax","Draw","",35,39,638,"",2026-04-12 00:26:21,2026-04-12 00:27:00
"opening-intelligence-endgame vs all","d223a239-5f57-4ca2-bcf8-69bf0dd11c20","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",127,144,794,"",2026-04-12 00:27:00,2026-04-12 00:29:25
"opening-intelligence-endgame vs all","533f20f9-1f87-411f-9372-1d8262238dae","opening-intelligence-endgame","endgame-minimax","WhiteWin","white",53,62,239,"",2026-04-12 00:29:25,2026-04-12 00:30:27
