experiment,game_id,white_strategy,black_strategy,result,winner,move_count,duration_s,error,started_at,finished_at
"opening-intelligence-endgame vs all","c0417536-56b2-4b95-a63c-76f28b2f5492","opening-intelligence-endgame","opening-continuation-endgame","","",0,300,013,"Timed out while waiting for backend game completion",2026-04-12 04:07:10,2026-04-12 04:12:10
"opening-intelligence-endgame vs all","8d2bc3e2-307e-4955-80b8-42f1a78a1ae5","opening-intelligence-endgame","opening-continuation-endgame","BlackWin","black",82,187,562,"",2026-04-12 04:12:10,2026-04-12 04:15:18
"opening-intelligence-endgame vs all","71e3da32-7c85-49ea-9fed-8c80606f0d7e","opening-intelligence-endgame","opening-continuation-endgame","BlackWin","black",76,168,325,"",2026-04-12 04:15:18,2026-04-12 04:18:06
"opening-intelligence-endgame vs all","9bcb0c1e-9d64-4e1a-84ab-60d999b7fb2c","opening-intelligence-endgame","opening-continuation-endgame","","",0,300,008,"Timed out while waiting for backend game completion",2026-04-12 04:18:06,2026-04-12 04:23:06
"opening-intelligence-endgame vs all","f591a4d0-a884-4192-b6cb-737c4fad12de","opening-intelligence-endgame","opening-continuation-endgame","BlackWin","black",34,68,688,"",2026-04-12 04:23:06,2026-04-12 04:24:15
"opening-intelligence-endgame vs all","5f9857bd-1813-46d6-82a9-70c5b75d070f","opening-intelligence-endgame","opening-continuation-endgame","BlackWin","black",60,129,595,"",2026-04-12 04:24:15,2026-04-12 04:26:25
"opening-intelligence-endgame vs all","e2971886-55e0-49fc-a897-7c6e2a7601dc","opening-intelligence-endgame","opening-continuation-endgame","","",0,300,010,"Timed out while waiting for backend game completion",2026-04-12 04:26:25,2026-04-12 04:31:25
"opening-intelligence-endgame vs all","2959d57c-8f43-4cb0-ab8a-0c51c5982e94","opening-intelligence-endgame","opening-continuation-endgame","Draw","",103,240,501,"",2026-04-12 04:31:25,2026-04-12 04:35:25
"opening-intelligence-endgame vs all","6c5fe01b-cbeb-471a-8219-20b7eef63864","opening-intelligence-endgame","opening-continuation-endgame","","",0,300,011,"Timed out while waiting for backend game completion",2026-04-12 04:35:25,2026-04-12 04:40:25
"opening-intelligence-endgame vs all","6f0c9978-a013-408b-826c-ddf34b9aaf49","opening-intelligence-endgame","opening-continuation-endgame","Draw","",66,144,420,"",2026-04-12 04:40:25,2026-04-12 04:42:50
"opening-intelligence-endgame vs all","be1e345a-299b-4b59-82d0-a98614445b69","opening-intelligence-endgame","opening-continuation-endgame","","",0,300,020,"Timed out while waiting for backend game completion",2026-04-12 04:42:50,2026-04-12 04:47:50
"opening-intelligence-endgame vs all","a7fb4da3-8818-4b50-b9d9-f9b6391ab78d","opening-continuation-endgame","opening-intelligence-endgame","WhiteWin","white",33,76,327,"",2026-04-12 04:47:50,2026-04-12 04:49:06
"opening-intelligence-endgame vs all","f1c7ded9-c749-4ae1-a41d-013bbd502081","opening-continuation-endgame","opening-intelligence-endgame","","",0,300,017,"Timed out while waiting for backend game completion",2026-04-12 04:49:06,2026-04-12 04:54:06
"opening-intelligence-endgame vs all","1449d6ab-0e3c-46cd-8c00-222d23a7a0e7","opening-continuation-endgame","opening-intelligence-endgame","WhiteWin","white",69,161,778,"",2026-04-12 04:54:06,2026-04-12 04:56:48
"opening-intelligence-endgame vs all","f7d0386c-ae6b-4cb8-a514-1026793cb1c7","opening-continuation-endgame","opening-intelligence-endgame","Draw","",73,173,169,"",2026-04-12 04:56:48,2026-04-12 04:59:41
"opening-intelligence-endgame vs all","db86e4aa-9fbc-47b8-92e0-925de629f0ae","opening-continuation-endgame","opening-intelligence-endgame","","",0,300,010,"Timed out while waiting for backend game completion",2026-04-12 04:59:41,2026-04-12 05:04:41
"opening-intelligence-endgame vs all","99419bb5-648f-4187-8eef-429291c3493a","opening-continuation-endgame","opening-intelligence-endgame","BlackWin","black",108,260,488,"",2026-04-12 05:04:41,2026-04-12 05:09:02
"opening-intelligence-endgame vs all","595c1acf-5733-46e7-8784-58260f2c2439","opening-continuation-endgame","opening-intelligence-endgame","Draw","",105,252,840,"",2026-04-12 05:09:02,2026-04-12 05:13:14
"opening-intelligence-endgame vs all","1d19b5f7-084c-4a7f-84a5-6b79e6e2cd86","opening-continuation-endgame","opening-intelligence-endgame","BlackWin","black",102,245,877,"",2026-04-12 05:13:14,2026-04-12 05:17:20
"opening-intelligence-endgame vs all","27d4f861-5bd7-4ad9-b71e-7bf1f44062ce","opening-continuation-endgame","opening-intelligence-endgame","WhiteWin","white",41,95,955,"",2026-04-12 05:17:20,2026-04-12 05:18:56
"opening-intelligence-endgame vs all","2950d992-a408-4fc5-9e5b-acf6123ac864","opening-continuation-endgame","opening-intelligence-endgame","Draw","",81,192,866,"",2026-04-12 05:18:56,2026-04-12 05:22:09
"opening-intelligence-endgame vs all","a4289d31-ba14-4461-870a-161005212a82","opening-continuation-endgame","opening-intelligence-endgame","BlackWin","black",54,127,172,"",2026-04-12 05:22:09,2026-04-12 05:24:16
"opening-intelligence-endgame vs all","cb523a4a-69dc-43b2-b188-0dd88db65f52","opening-continuation-endgame","opening-intelligence-endgame","","",0,300,017,"Timed out while waiting for backend game completion",2026-04-12 05:24:16,2026-04-12 05:29:16
"opening-intelligence-endgame vs all","c231f364-262d-4785-8255-2f1c9235c639","opening-continuation-endgame","opening-intelligence-endgame","WhiteWin","white",97,232,205,"",2026-04-12 05:29:16,2026-04-12 05:33:09
"opening-intelligence-endgame vs all","8ed23ef5-17bd-4960-8235-4eb1615703af","opening-continuation-endgame","opening-intelligence-endgame","Draw","",80,190,258,"",2026-04-12 05:33:09,2026-04-12 05:36:19
"opening-intelligence-endgame vs all","7664eb8c-5fd3-4a8a-9887-1888a3352fc8","opening-continuation-endgame","opening-intelligence-endgame","WhiteWin","white",69,165,682,"",2026-04-12 05:36:19,2026-04-12 05:39:05
"opening-intelligence-endgame vs all","f4a81b3e-8aba-49e3-bfbb-f30e54d8f962","opening-continuation-endgame","opening-intelligence-endgame","BlackWin","black",110,263,186,"",2026-04-12 05:39:05,2026-04-12 05:43:28
"opening-intelligence-endgame vs all","aa66b6e7-a9f7-4088-b67f-22074b16461e","opening-continuation-endgame","opening-intelligence-endgame","BlackWin","black",82,195,222,"",2026-04-12 05:43:28,2026-04-12 05:46:43
"opening-intelligence-endgame vs all","befc8d5b-ea00-4918-9116-c089c2cb38d7","opening-continuation-endgame","opening-intelligence-endgame","","",0,300,008,"Timed out while waiting for backend game completion",2026-04-12 05:46:43,2026-04-12 05:51:43
"opening-intelligence-endgame vs all","b118783c-270c-425c-9492-c14ec1e6c1da","opening-continuation-endgame","opening-intelligence-endgame","Draw","",96,229,483,"",2026-04-12 05:51:43,2026-04-12 05:55:33
"opening-intelligence-endgame vs all","660770f5-7588-439a-a957-95744aa427f6","opening-continuation-endgame","opening-intelligence-endgame","Draw","",54,129,201,"",2026-04-12 05:55:33,2026-04-12 05:57:42
